
labels list: ['individual_1_gram', 'individual_2_gram', 'individual_3_gram', 'individual_4_gram', 'cumulative_1_gram', 'cumulative_2_gram', 'cumulative_3_gram', 'cumulative_4_gram']
file_idx:69, scores: [0.9932885906040269, 0.9864864864864865, 0.9659863945578231, 0.9452054794520548, 0.9932885906040269, 0.9898816958667741, 0.9820314738016065, 0.9725589994727682]
file_idx:70, scores: [0.9865771812080537, 0.972972972972973, 0.9591836734693877, 0.9452054794520548, 0.9865771812080537, 0.979751464947767, 0.9731148384624531, 0.9658617397397254]
file_idx:71, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:72, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:73, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:74, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:75, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:76, scores: [0.9931972789115646, 0.9863013698630136, 0.9793103448275862, 0.9722222222222222, 0.9931972789115646, 0.989743318610787, 0.9863898957299182, 0.9827267114919536]
file_idx:77, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:78, scores: [0.9930555555555556, 0.986013986013986, 0.9788732394366197, 0.9645390070921985, 0.9930555555555556, 0.9895285072531598, 0.9861033069247136, 0.9805634882224985]
file_idx:79, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:80, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:81, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:82, scores: [0.9861111111111112, 0.972027972027972, 0.9436619718309859, 0.9078014184397163, 0.9861111111111112, 0.9790442193933753, 0.9674286680316436, 0.9519255454565979]
file_idx:83, scores: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
file_idx:84, scores: [0.8705035971223022, 0.855072463768116, 0.8394160583941606, 0.8235294117647058, 0.8705035971223022, 0.8627535311491772, 0.8562444158364575, 0.8469494096056873]
